city,categories,categories01,categories02,categories03
Agoura,burgers,,2.0,1.0
Agoura,hotdogs,2.0,,
Agoura,tacos,,,1.0
Agoura Hills,burgers,1.0,2.0,1.0
Agoura Hills,chicken_wings,,1.0,
Agoura Hills,donuts,1.0,,
Agoura Hills,hotdogs,1.0,4.0,
Agoura Hills,pizza,3.0,3.0,1.0
Agoura Hills,salad,,3.0,1.0
Agoura Hills,sandwiches,3.0,,4.0
Alhambra,burgers,7.0,5.0,3.0
Alhambra,chicken_wings,3.0,2.0,2.0
Alhambra,donuts,1.0,,
Alhambra,hotdogs,7.0,3.0,3.0
Alhambra,pizza,1.0,3.0,1.0
Alhambra,salad,1.0,2.0,
Alhambra,sandwiches,4.0,2.0,3.0
Alhambra,tacos,1.0,,
Antelope Center,tacos,1.0,,
Arcadia,burgers,,,1.0
Arcadia,chicken_wings,1.0,1.0,1.0
Arcadia,donuts,1.0,,1.0
Arcadia,hotdogs,4.0,6.0,3.0
Arcadia,pizza,2.0,1.0,1.0
Arcadia,salad,1.0,1.0,1.0
Arcadia,sandwiches,1.0,,
Artesia,burgers,1.0,1.0,1.0
Artesia,chicken_wings,2.0,1.0,2.0
Artesia,hotdogs,3.0,3.0,2.0
Artesia,pizza,2.0,1.0,
Artesia,salad,,2.0,
Artesia,sandwiches,2.0,1.0,1.0
Artesia,tacos,,,1.0
Azusa,burgers,1.0,,
Azusa,pizza,,1.0,
Azusa,sandwiches,,,1.0
Baldwin Hills,hotdogs,,1.0,
Baldwin Hills,pizza,1.0,,
Bell,burgers,5.0,5.0,
Bell,chicken_wings,,3.0,1.0
Bell,hotdogs,2.0,3.0,2.0
Bell,pizza,6.0,,1.0
Bell,salad,,1.0,
Bell,sandwiches,1.0,,3.0
Bell,tacos,2.0,,1.0
Bell Gardens,burgers,9.0,4.0,2.0
Bell Gardens,chicken_wings,1.0,4.0,1.0
Bell Gardens,donuts,1.0,,
Bell Gardens,hotdogs,5.0,7.0,
Bell Gardens,pizza,6.0,,
Bell Gardens,salad,,2.0,
Bell Gardens,sandwiches,2.0,1.0,3.0
Bell Gardens,tacos,1.0,,2.0
Bellflower,burgers,1.0,3.0,
Bellflower,chicken_wings,1.0,,
Bellflower,donuts,2.0,,
Bellflower,hotdogs,4.0,4.0,
Bellflower,pizza,3.0,,
Bellflower,sandwiches,2.0,1.0,2.0
Bellflower,tacos,,,1.0
Beverly Hills,burgers,3.0,3.0,5.0
Beverly Hills,chicken_wings,,,3.0
Beverly Hills,hotdogs,1.0,5.0,1.0
Beverly Hills,pizza,9.0,1.0,2.0
Beverly Hills,salad,1.0,10.0,4.0
Beverly Hills,sandwiches,9.0,12.0,12.0
Burbank,burgers,1.0,,1.0
Burbank,sandwiches,1.0,,1.0
Calabasas,burgers,,1.0,
Calabasas,chicken_wings,,1.0,
Calabasas,hotdogs,,,1.0
Calabasas,pizza,1.0,,1.0
Calabasas,salad,,1.0,1.0
Calabasas,sandwiches,2.0,,
Canyon Country,burgers,2.0,2.0,
Canyon Country,chicken_wings,,3.0,1.0
Canyon Country,donuts,2.0,,
Canyon Country,hotdogs,6.0,4.0,
Canyon Country,pizza,5.0,,
Canyon Country,sandwiches,3.0,2.0,3.0
Canyon Country,tacos,,1.0,1.0
Century City,salad,,1.0,
Century City,sandwiches,1.0,,
Cerritos,burgers,2.0,1.0,1.0
Cerritos,chicken_wings,3.0,2.0,2.0
Cerritos,hotdogs,5.0,8.0,2.0
Cerritos,pancakes,1.0,,
Cerritos,pizza,2.0,2.0,1.0
