id,name,is_claimed,is_closed,phone,review_count,categories01,categories02,categories03,rating,price,transactions,zip_code,city,address,restaurant_url,image_url,latitude,longitude,photos,cross_streets,category,score
hwWfv3sSxV3a47UAdSVT5w,Subway,True,False,16617295564.0,13,sandwiches,,,2.5,$,"['delivery', 'pickup']",93535,Lancaster,"['1821 W Ave I', 'Unit 103', 'Lancaster, CA 93535']",https://www.yelp.com/biz/subway-lancaster-106?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/4Yo7EajI8P5eDb6ikOb5tA/o.jpg,34.70521768668517,-118.1641797432408,"['https://s3-media3.fl.yelpcdn.com/bphoto/4Yo7EajI8P5eDb6ikOb5tA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/D9xlQCR_G0vd_fa_WEaBXw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/4b5TD5kRZL-23TMO42F4qA/o.jpg']",,"sandwiches, , ",0.0
TxU0fwF2N2nVhCpzokc1Pg,Little Caesars,True,False,16619456666.0,54,pizza,,,1.5,$,[],93534,Lancaster,"['1841 W Ave I', 'Bldg 2, Ste D', 'Lancaster, CA 93534']",https://www.yelp.com/biz/little-caesars-lancaster-5?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/-Fz1W5XVpOC2aWqgfUNoyg/o.jpg,34.7051,-118.16487,"['https://s3-media2.fl.yelpcdn.com/bphoto/-Fz1W5XVpOC2aWqgfUNoyg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/T6BKP60PkLkr4RmAEWmZvQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/DEG6XZfwxIlM5PETQ16cbw/o.jpg']",,"pizza, , ",0.0
IDuCRA2KcOAsC2nVFLJMxw,El Buen Taco,True,False,16619400200.0,6,tacos,,,4.0,-,[],93534,Lancaster,"['45216 10th St W', 'Lancaster, CA 93534']",https://www.yelp.com/biz/el-buen-taco-lancaster-2?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/VIBJQTENLodqwiromSnpwg/o.jpg,34.70473,-118.14743,"['https://s3-media3.fl.yelpcdn.com/bphoto/VIBJQTENLodqwiromSnpwg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Y-AAdn7PvOzL3iY-p0YIrw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/GXXJiZciZWEtj-tBrUQqUw/o.jpg']",,"tacos, , ",0.0
VpmdWM-F2192HKU0KRaerw,Panda Express,True,False,16617265050.0,88,chinese,hotdogs,,2.0,$$,"['delivery', 'pickup']",93534,Lancaster,"['1861 W Avenue I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/panda-express-lancaster-5?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media4.fl.yelpcdn.com/bphoto/Wv9xiMfTsaGerHadVLh3iA/o.jpg,34.7045,-118.16548,"['https://s3-media4.fl.yelpcdn.com/bphoto/Wv9xiMfTsaGerHadVLh3iA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/lEepHd-cSyjWUktofqbp8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/a9yTRm2H6Sg6O0q0W3OoZg/o.jpg']",,"chinese, hotdogs, ",0.0
RFXjfO29qEchjfwIlJMbzg,Jack in the Box,True,False,16617263626.0,39,tacos,burgers,hotdogs,3.0,$,['delivery'],93536,Lancaster,"['2443 W Avenue I', 'Lancaster, CA 93536']",https://www.yelp.com/biz/jack-in-the-box-lancaster-2?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media1.fl.yelpcdn.com/bphoto/iWaxDptiiLdjrBOjohs-7g/o.jpg,34.7044542,-118.174592,"['https://s3-media1.fl.yelpcdn.com/bphoto/iWaxDptiiLdjrBOjohs-7g/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Xcb1QwJM-rKlrsbZCz8fcw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/vf7q5fi5ezhU6m_Tkqijdw/o.jpg']",,"tacos, burgers, hotdogs",0.0
faxXTR_fypr81HagZrdoCQ,In-N-Out Burger,True,False,18007861000.0,206,burgers,hotdogs,,4.0,$,[],93536,Lancaster,"['2021 W Avenue I', 'Lancaster, CA 93536']",https://www.yelp.com/biz/in-n-out-burger-lancaster-2?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/08XUd4mefoMbXJF6JbnETA/o.jpg,34.704414,-118.166982,"['https://s3-media2.fl.yelpcdn.com/bphoto/08XUd4mefoMbXJF6JbnETA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/-fgE4--3BOp_gRksh5jaCg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/7cBMNr2VHrzPk9XzTbP1wg/o.jpg']",,"burgers, hotdogs, ",0.0
mw7xmgOfDZQ1yskTiRQ1gg,Street Tacos,True,False,13108509908.0,10,foodtrucks,tacos,,3.5,-,[],93535,Lancaster,"['20th St E Ave', 'Ste J', 'Lancaster, CA 93535']",https://www.yelp.com/biz/street-tacos-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/TySntkOnaD1HVYG8wAmr1w/o.jpg,34.70440199269954,-118.0945531613075,"['https://s3-media3.fl.yelpcdn.com/bphoto/TySntkOnaD1HVYG8wAmr1w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/r6-Nqg1ufaKZEHc1GTf-hw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/dQpJuwOhOlH7I1c3dtjPfQ/o.jpg']",,"foodtrucks, tacos, ",0.0
abiH_sTfDykMJHXFlHO-ug,McDonald's,True,False,16619484119.0,41,hotdogs,burgers,coffee,1.5,$,['delivery'],93534,Lancaster,"['839 W Ave I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/mcdonalds-lancaster-14?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media4.fl.yelpcdn.com/bphoto/D1IkGa_fu221b9iTfvB3WQ/o.jpg,34.70436879145757,-118.146758236689,"['https://s3-media4.fl.yelpcdn.com/bphoto/D1IkGa_fu221b9iTfvB3WQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/LgGpV8P7ipd8P8ryZ9lbAQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/03xINiHr7f9o23KtSiiNiQ/o.jpg']",,"hotdogs, burgers, coffee",0.0
iDOMPSqafnMso5kyZA8Grg,Barone's Pizza,True,False,16619480771.0,151,pizza,italian,venues,3.5,$$,"['pickup', 'delivery']",93534,Lancaster,"['1229 W Ave I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/barones-pizza-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/X2hEdzEpfHMCVq6xYn6fvQ/o.jpg,34.70431,-118.1523,"['https://s3-media2.fl.yelpcdn.com/bphoto/X2hEdzEpfHMCVq6xYn6fvQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7HdJ_PWacTuyyjrSuqzrqA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/QLT0Bo0Hkl8ZVY_NNgNrQw/o.jpg']",,"pizza, italian, venues",0.0
gUB8KdhVwT23EELwRNLCKw,IHOP,True,False,16619453964.0,77,breakfast_brunch,tradamerican,burgers,2.5,$$,"['pickup', 'delivery']",93534,Lancaster,"['843 W Ave I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/ihop-lancaster-2?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/ZgePMHzCQVBlAe2fvZw_DA/o.jpg,34.70413,-118.14718,"['https://s3-media3.fl.yelpcdn.com/bphoto/ZgePMHzCQVBlAe2fvZw_DA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/LnURHV8Ib-recqI-9zqpRw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/ZKF23SMPh8o8nspQsw__bg/o.jpg']",,"breakfast_brunch, tradamerican, burgers",0.0
