Unnamed: 0,zip_code,city_1,2015,2017,2019,city_2
2648,91301,Agoura Hills Cornell,114417,117615,133996,Agoura
2642,91301,Agoura Hills Cornell,114417,117615,133996,Agoura Hills
3542,91801,Alhambra,51793,53644,63264,Alhambra
3721,93543,Juniper Hills Littlerock Sun Village,53241,41626,45918,Antelope Center
2450,91006,Arcadia,83986,99360,83964,Arcadia
2062,90701,Artesia,60749,62863,105832,Artesia
3108,91702,Azusa Irwindale,55651,59104,65755,Azusa
250,90008,Los Angeles (Baldwin Hills Crenshaw Leimert Park),36564,36641,43364,Baldwin Hills
1244,90201,Bell Bell Gardens Cudahy,37254,39498,155417,Bell
1244,90201,Bell Bell Gardens Cudahy,37254,39498,155417,Bell Gardens
2117,90706,Bellflower,48823,52944,63907,Bellflower
1319,90210,Beverly Hills,145227,149732,44046,Beverly Hills
3067,91502,Burbank,40057,41784,83994,Burbank
3069,91504,Burbank (Glenoaks),70608,73501,87138,Burbank
2669,91302,Calabasas Hidden Hills Monte Nido,114688,122967,61250,Calabasas
2826,91350,Bouquet Canyon Green Valley Mint Canyon Santa Clarita (Canyon County),100387,103837,81758,Canyon Country
2839,91351,Santa Clarita (Canyon Country),68197,76706,57145,Canyon Country
1215,90067,Los Angeles (Century City),97891,123889,118393,Century City
2079,90703,Cerritos,89720,98175,73287,Cerritos
967,90040,Commerce City of,44964,43585,47120,City Of Commerce
3268,91744,City of Industry La Puente Valinda,58641,63318,85975,City Of Industry
2675,91311,Los Angeles (Chatsworth),80593,82738,76978,Chatsworth
3109,91711,Claremont,89161,97002,80089,Claremont
1281,90201,Bell Bell Gardens Cudahy,37254,39498,155417,Cudahy
965,90040,Commerce City of,44964,43585,47120,Commerce
3142,91722,Covina,66512,70632,64422,Covina
1377,90230,Culver City,74823,79242,49894,Culver City
3361,91765,Diamond Bar,90522,95285,59819,Diamond Bar
1444,90240,Downey,76907,81205,90467,Downey
3156,91731,El Monte,35120,36344,51268,El Monte
3200,91733,El Monte South El Monte,39379,42758,85590,El Monte
1501,90245,El Segundo,85727,92942,71233,El Segundo
0,90001,Los Angeles (South Los Angeles) Florence-Graham,33887,35660,43360,Florence-Firestone
1511,90247,Gardena,42926,46076,109577,Gardena
2519,91202,Glendale,63037,66657,61071,Glendale
2558,91204,Glendale (Tropico),42277,44304,44835,Glendale
2623,91210,Glendale (Glendale Galleria PO Boxes),158162,155833,104981,Glendale
3225,91740,Glendora,67063,76825,110430,Glendora
2131,90710,Los Angeles (Harbor City),52294,57968,96634,Harbor City
738,90028,Los Angeles (Hollywood),33582,40068,45499,Hollywood
