review_id,categories01,categories02,categories03,city,Value
izyfRcTnjQo9T_BHu6o74w,cocktailbars,mexican,salad,Los Angeles,Service
wkZiqiEoWWExICr0W40ZKw,cocktailbars,mexican,salad,Los Angeles,Service
YsiWFH8ep-P68Z5fnFX1JQ,cocktailbars,mexican,salad,Los Angeles,Food
EkRomu_roAanTW5WClUq1A,gastropubs,burgers,newamerican,Los Angeles,Food
UpYX8N6AYM8ldOPBMSfNLg,gastropubs,burgers,newamerican,Los Angeles,Food
5KLPvpcKa8p0n2F223oZdA,gastropubs,burgers,newamerican,Los Angeles,Service
zG6bpAoEr4mYwlepY2Ic_g,bubbletea,german,sandwiches,Los Angeles,Waiting time
s4M5NXMvRftx3AI0PEur0A,bubbletea,german,sandwiches,Los Angeles,Waiting time
Wq5SRqfEOcKDcBJ-O9laTQ,bubbletea,german,sandwiches,Los Angeles,Environment
fdx5te9DUER3Vk8NhChE4w,italian,pizza,,West Hollywood,Others
9hIaTlf7uq6HrUs7LNgNFA,italian,pizza,,West Hollywood,Environment
0FEpOq7kuI1KiniP1z_E4g,italian,pizza,,West Hollywood,Service
PRmiSdyuwX_3VVATKwIqLg,vegan,burgers,hotdogs,Los Angeles,Environment
O2ClX5AwH9DagCPyiBtfCg,vegan,burgers,hotdogs,Los Angeles,Experience
aGLB26QRyy4qXHl3qpU-EQ,vegan,burgers,hotdogs,Los Angeles,Service
nKK_z5MuaLVZeA06YXa1dA,breakfast_brunch,sandwiches,,Los Angeles,Others
B4j_QnKKZyKrby1UdidGXg,breakfast_brunch,sandwiches,,Los Angeles,Others
WMeNT9CqOmcJDCodCgU79w,breakfast_brunch,sandwiches,,Los Angeles,Service
czXG9YBl7eLz673Kg0P6SQ,coffee,breakfast_brunch,sandwiches,Los Angeles,Food
Ok8hcSTYefHKU3DaLifM3A,coffee,breakfast_brunch,sandwiches,Los Angeles,Environment
9m5fldwiOYTZt_CL15YVtA,coffee,breakfast_brunch,sandwiches,Los Angeles,Service
Nc8R5-fumjij5kz5TAl7Hw,pizza,italian,,Los Angeles,Service
yYacdTYofaatK7YCGTb58g,pizza,italian,,Los Angeles,Service
_vInj0fACx3kN1Rs-eGZFQ,pizza,italian,,Los Angeles,Service
wrX26FtMgFc49RniaRxVfA,cafes,coffee,sandwiches,Los Angeles,Service
szRshVQcWBJw9pYRqsGKKw,cafes,coffee,sandwiches,Los Angeles,Food
fshHL4C4h7eKzbOUFW9i4A,cafes,coffee,sandwiches,Los Angeles,Service
ybkUg38VOhUgjJdPPJFk9g,pizza,,,West Hollywood,Service
I-B1Ww_oY6NzrwHn_Rywzw,pizza,,,West Hollywood,Others
6L_GAg3sDkFDr3HrkIwrKA,pizza,,,West Hollywood,Environment
GF9Qqgr20tSLDS6WP22mng,coffee,breakfast_brunch,pizza,Los Angeles,Others
nyGGaFu6uuCmvLujWFqN3w,coffee,breakfast_brunch,pizza,Los Angeles,Service
ZBoz1vIudHrnN65Z_TX6_w,coffee,breakfast_brunch,pizza,Los Angeles,Food
kSCurfNbeZ3b9AsgxD6UWQ,tacos,newamerican,,West Hollywood,Waiting time
pqCRYKtTbWICeIlYt-pFEg,tacos,newamerican,,West Hollywood,Service
cgyuXyYND9anad8fPOCSLw,tacos,newamerican,,West Hollywood,Service
rwk1z8LuhFT6fGCWvUAKGw,burgers,salad,bars,Los Angeles,Service
0oP78gK9NNm235qHtXJt5Q,burgers,salad,bars,Los Angeles,Others
GhJt05kaxQLl_hpPxebg7A,burgers,salad,bars,Los Angeles,Service
IYbQ8RuVWLyYHN-MNngu1g,pizza,sandwiches,salad,West Hollywood,Food
5i2JVnxd1a5klq7W4Sl73Q,pizza,sandwiches,salad,West Hollywood,Service
XJKfLrhOUWiUkne3jUfnZg,pizza,sandwiches,salad,West Hollywood,Food
JO_wX7UvmZ1O7BlAMr9Y5Q,salad,breakfast_brunch,sandwiches,Los Angeles,Environment
L1XaxXwIfWuh8VjBGNu6SQ,salad,breakfast_brunch,sandwiches,Los Angeles,Service
uSv9AIsCkzep0UUT2Sp6VA,salad,breakfast_brunch,sandwiches,Los Angeles,Service
-wjxdo6i3Zv8a6nyBsPw8w,juicebars,sandwiches,,Los Angeles,Experience
c2lldI2Kz_7eAWZ0IqIiFg,juicebars,sandwiches,,Los Angeles,Service
